YEAR,MONTH,ROW,TEXT
1974,1,4,Time magazine article titled 'Another Ice Age?'
1975,8,2,"The phrase ""global warming"" first used in a scientific publication"
1979,2,3,First World Climate Conference
1987,8,3,Montreal Protocol on Ozone signed
1997,12,1.5,Kyoto Protocol Is adopted
1998,3,4,UN forms panel on Climate Change
1998,7,3,Record hottest summer' with widespread drought
2001,6,1,U.S. withdraws from Kyoto Protocol
2005,2,2,Kyoto Protocol takes effect
2006,5,4,An Invconvenient Truth released
2007,10,1,Al Gore receives Nobel Peace Prize for climate change education efforts
2010,1,3,NASA reports that 2000-2009 was the warmest decade on record
2016,4,1,Paris Climate Agreement signed
2017,6,3,U.S. ceases participation in the Paris Climate Agreement
