city,networkId,latitude,longitude
Portland ME,USW00014764,43.64222,-70.30444
Boston MA,USW00014739,42.3606,-71.0097
New Haven CT,USW00014758,41.26389,-72.88722
New York City NY,USW00094789,40.6386,-73.7622
Philadelphia PA,USW00013739,39.87327,-75.22678
Baltimore MD,USW00093721,39.1733,-76.684
Norfolk VA,USW00013750,36.93746,-76.28926
Wilmington NC,USW00013748,34.2675,-77.8997
Charleston SC,USW00013782,32.775,-79.9239
Jacksonville FL,USC00084366,30.2875,-81.3927
Miami Beach FL,USW00092811,25.8063,-80.1334
